timestamp,user,ip,event,status
2026-06-20 10:01:00,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:01:15,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:01:30,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:01:45,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:02:00,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:02:15,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:02:30,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:02:45,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:03:00,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:03:15,user1,192.168.1.10,LOGIN_FAIL,FAILED
2026-06-20 10:05:00,user1,192.168.1.10,LOGIN_SUCCESS,SUCCESS
2026-06-20 10:10:00,user2,192.168.1.20,FILE_ACCESS,SUCCESS
2026-06-20 10:11:00,user2,192.168.1.20,FILE_ACCESS,SUCCESS
2026-06-20 10:12:00,user3,10.0.0.50,ACCESS_DENIED,FAILED
2026-06-20 10:13:00,user3,10.0.0.50,ACCESS_DENIED,FAILED
2026-06-20 10:14:00,user3,10.0.0.50,ACCESS_DENIED,FAILED
2026-06-20 10:15:00,user3,10.0.0.50,ACCESS_DENIED,FAILED
2026-06-20 10:16:00,user3,10.0.0.50,ACCESS_DENIED,FAILED
2026-06-20 10:20:00,admin,172.16.0.1,CONFIG_CHANGE,SUCCESS
2026-06-20 10:25:00,user4,192.168.1.30,LOGIN_SUCCESS,SUCCESS
2026-06-20 10:30:00,user4,192.168.1.30,FILE_ACCESS,SUCCESS
2026-06-20 10:35:00,user5,10.0.0.100,LOGIN_FAIL,FAILED
2026-06-20 10:36:00,user5,10.0.0.100,LOGIN_FAIL,FAILED
2026-06-20 10:40:00,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:05,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:10,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:15,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:20,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:25,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:30,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:35,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:40,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:40:45,system,192.168.1.1,ERROR,FAILED
2026-06-20 10:45:00,user6,10.0.0.200,LOGIN_SUCCESS,SUCCESS
2026-06-20 10:50:00,user6,10.0.0.200,FILE_ACCESS,SUCCESS
2026-06-20 10:55:00,user7,192.168.1.40,LOGIN_FAIL,FAILED
2026-06-20 11:00:00,user2,192.168.1.20,LOGOUT,SUCCESS
2026-06-20 11:05:00,user8,10.0.0.75,ACCESS_DENIED,FAILED
2026-06-20 11:10:00,user8,10.0.0.75,ACCESS_DENIED,FAILED
2026-06-20 11:15:00,user8,10.0.0.75,ACCESS_DENIED,FAILED
